R,Z,DeltaR,DeltaZ,ang1,ang2,circ,N,mult,R(mOhms),Name
0.1198,-1.3643,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_1
0.1198,-1.3463,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_2
0.1198,-1.3283,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_3
0.1198,-1.3103,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_4
0.1198,-1.2923,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_5
0.1198,-1.2743,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_6
0.1198,-1.2563,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_7
0.1198,-1.2383,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_8
0.1198,-1.2203,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_9
0.1198,-1.2023,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_10
0.1198,-1.1843,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_11
0.1198,-1.1663,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_12
0.1198,-1.1483,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_13
0.1198,-1.1303,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_14
0.1198,-1.1123,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_15
0.1198,-1.0943,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_16
0.1198,-1.0763,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_17
0.1198,-1.0583,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_18
0.1198,-1.0403,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_19
0.1198,-1.0223,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_20
0.1198,-1.0043,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_21
0.1198,-0.9863,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_22
0.1198,-0.9683,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_23
0.1198,-0.9503,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_24
0.1198,-0.9323,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_25
0.1198,-0.9143,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_26
0.1198,-0.8963,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_27
0.1198,-0.8783,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_28
0.1198,-0.8603,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_29
0.1198,-0.8423,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_30
0.1198,-0.8243,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_31
0.1198,-0.8063,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_32
0.1198,-0.7883,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_33
0.1198,-0.7703,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_34
0.1198,-0.7523,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_35
0.1198,-0.7343,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_36
0.1198,-0.7163,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_37
0.1198,-0.6983,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_38
0.1198,-0.6803,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_39
0.1198,-0.6623,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_40
0.1198,-0.6443,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_41
0.1198,-0.6263,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_42
0.1198,-0.6083,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_43
0.1198,-0.5903,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_44
0.1198,-0.5723,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_45
0.1198,-0.5543,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_46
0.1198,-0.5363,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_47
0.1198,-0.5183,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_48
0.1198,-0.5003,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_49
0.1198,-0.4823,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_50
0.1198,-0.4643,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_51
0.1198,-0.4463,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_52
0.1198,-0.4283,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_53
0.1198,-0.4103,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_54
0.1198,-0.3923,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_55
0.1198,-0.3743,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_56
0.1198,-0.3563,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_57
0.1198,-0.3383,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_58
0.1198,-0.3203,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_59
0.1198,-0.3023,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_60
0.1198,-0.2843,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_61
0.1198,-0.2663,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_62
0.1198,-0.2483,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_63
0.1198,-0.2303,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_64
0.1198,-0.2123,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_65
0.1198,-0.1943,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_66
0.1198,-0.1763,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_67
0.1198,-0.1583,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_68
0.1198,-0.1403,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_69
0.1198,-0.1223,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_70
0.1198,-0.1043,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_71
0.1198,-0.0863,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_72
0.1198,-0.0683,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_73
0.1198,-0.0503,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_74
0.1198,-0.0323,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_75
0.1198,-0.0143,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_76
0.1198,0.0037,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_77
0.1198,0.0217,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_78
0.1198,0.0397,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_79
0.1198,0.0577,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_80
0.1198,0.0757,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_81
0.1198,0.0937,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_82
0.1198,0.1117,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_83
0.1198,0.1297,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_84
0.1198,0.1477,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_85
0.1198,0.1657,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_86
0.1198,0.1837,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_87
0.1198,0.2017,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_88
0.1198,0.2197,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_89
0.1198,0.2377,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_90
0.1198,0.2557,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_91
0.1198,0.2737,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_92
0.1198,0.2917,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_93
0.1198,0.3097,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_94
0.1198,0.3277,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_95
0.1198,0.3457,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_96
0.1198,0.3637,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_97
0.1198,0.3817,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_98
0.1198,0.3997,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_99
0.1198,0.4177,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_100
0.1198,0.4357,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_101
0.1198,0.4537,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_102
0.1198,0.4717,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_103
0.1198,0.4897,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_104
0.1198,0.5077,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_105
0.1198,0.5257,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_106
0.1198,0.5437,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_107
0.1198,0.5617,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_108
0.1198,0.5797,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_109
0.1198,0.5977,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_110
0.1198,0.6157,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_111
0.1198,0.6337,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_112
0.1198,0.6517,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_113
0.1198,0.6697,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_114
0.1198,0.6877,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_115
0.1198,0.7057,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_116
0.1198,0.7237,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_117
0.1198,0.7417,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_118
0.1198,0.7597,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_119
0.1198,0.7777,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_120
0.1198,0.7957,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_121
0.1198,0.8137,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_122
0.1198,0.8317,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_123
0.1198,0.8497,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_124
0.1198,0.8677,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_125
0.1198,0.8857,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_126
0.1198,0.9037,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_127
0.1198,0.9217,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_128
0.1198,0.9397,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_129
0.1198,0.9577,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_130
0.1198,0.9757,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_131
0.1198,0.9937,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_132
0.1198,1.0117,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_133
0.1198,1.0297,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_134
0.1198,1.0477,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_135
0.1198,1.0657,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_136
0.1198,1.0837,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_137
0.1198,1.1017,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_138
0.1198,1.1197,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_139
0.1198,1.1377,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_140
0.1198,1.1557,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_141
0.1198,1.1737,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_142
0.1198,1.1917,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_143
0.1198,1.2097,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_144
0.1198,1.2277,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_145
0.1198,1.2457,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_146
0.1198,1.2637,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_147
0.1198,1.2817,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_148
0.1198,1.2997,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_149
0.1198,1.3177,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_150
0.1198,1.3357,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_151
0.1198,1.3537,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_152
0.1332,-1.3643,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_153
0.1332,-1.3463,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_154
0.1332,-1.3283,0.012,0.017,0.0,0.0,1,1,0.5000000,0.0,*amc_sol_current_155
