R,Z,DeltaR,DeltaZ,ang1,ang2,circ,N,mult,R(mOhms),Name
0.1574378,-1.2908611,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_44
0.1190000,-1.2728866,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_45
0.1318126,-1.2728866,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_46
0.1446252,-1.2728866,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_47
0.1574378,-1.2728866,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_48
0.1190000,-1.2549121,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_49
0.1318126,-1.2549121,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_50
0.1446252,-1.2549121,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_51
0.1574378,-1.2549121,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_52
0.1190000,-1.2369376,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_53
0.1318126,-1.2369376,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_54
0.1446252,-1.2369376,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_55
0.1574378,-1.2369376,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_56
0.1190000,-1.2189631,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_57
0.1318126,-1.2189631,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_58
0.1446252,-1.2189631,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_59
0.1574378,-1.2189631,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_60
0.1190000,-1.2009885,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_61
0.1318126,-1.2009885,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_62
0.1446252,-1.2009885,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_63
0.1574378,-1.2009885,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_64
0.1190000,-1.1830140,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_65
0.1318126,-1.1830140,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_66
0.1446252,-1.1830140,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_67
0.1574378,-1.1830140,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_68
0.1190000,-1.1650395,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_69
0.1318126,-1.1650395,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_70
0.1446252,-1.1650395,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_71
0.1574378,-1.1650395,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_72
0.1190000,-1.1470650,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_73
0.1318126,-1.1470650,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_74
0.1446252,-1.1470650,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_75
0.1574378,-1.1470650,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_76
0.1190000,-1.1290904,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_77
0.1318126,-1.1290904,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_78
0.1446252,-1.1290904,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_79
0.1574378,-1.1290904,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_80
0.1190000,-1.1111159,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_81
0.1318126,-1.1111159,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_82
0.1446252,-1.1111159,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_83
0.1574378,-1.1111159,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_84
0.1190000,-1.0931414,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_85
0.1318126,-1.0931414,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_86
0.1446252,-1.0931414,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_87
0.1574378,-1.0931414,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_88
0.1190000,-1.0751669,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_89
0.1318126,-1.0751669,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_90
0.1446252,-1.0751669,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_91
0.1574378,-1.0751669,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_92
0.1190000,-1.0571923,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_93
0.1318126,-1.0571923,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_94
0.1446252,-1.0571923,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_95
0.1574378,-1.0571923,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_96
0.1190000,-1.0392178,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_97
0.1318126,-1.0392178,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_98
