shot_id,useful,campaign
51861,1,MU04-SOL-01
51860,1,MU04-SOL-01
51859,1,MU04-SOL-01
51858,1,MU04-SOL-01
51857,1,MU04-SOL-01
51856,1,MU04-SOL-01
51855,1,MU04-SOL-01
51849,1,MU04-SOL-03
51848,1,MU04-SOL-03
51846,1,MU04-SOL-03
51845,1,MU04-SOL-03
51843,1,MU04-SOL-01
51842,1,MU04-SOL-01
51841,1,MU04-SOL-01
51830,1,MU04-DIS-01
51829,1,MU04-CT-02
51827,1,MU04-CT-02
51826,1,MU04-CT-02
51825,1,MU04-CT-02
51824,1,MU04-CT-02
51823,1,MU04-CT-02
51822,1,MU04-CT-02
51821,1,MU04-SCEN-05
51820,1,MU04-SCEN-05
51819,1,MU04-SCEN-05
51818,1,MU04-SCEN-05
51817,1,MU04-SCEN-05
51816,1,MU04-SCEN-05
51815,1,MU04-SCEN-05
51810,1,MU04-DIV-06
51809,1,MU04-DIV-06
51808,1,MU04-DIV-06
51807,1,MU04-DIV-01
51806,1,MU04-DIV-01
51805,1,MU04-DIV-01
51804,1,MU04-DIV-01
51803,1,MU04-DIV-01
51802,1,MU04-DIV-01
51801,1,MU04-DIV-01
51800,1,MU04-DIV-01
51799,1,MU04-DIV-01
51798,1,MU04-DIV-01
51797,1,MU04-DIV-01
51796,1,MU04-DIV-01
51791,1,MU04-DIV-06
51790,1,MU04-DIV-06
51789,1,MU04-DIV-06
51788,1,MU04-DIV-06
51786,1,MU04-DIV-06
51785,1,MU04-DIV-06
51784,1,MU04-DIV-06
51783,1,MU04-DIV-06
51782,1,MU04-DIV-07
51781,1,MU04-DIV-07
51779,1,MU04-DIV-07
51777,1,MU04-DIV-07
51776,1,MU04-DIV-07
51773,1,MU04-DIV-07
51772,1,MU04-CT-02
51771,1,MU04-CT-02
51770,1,MU04-CT-02
51769,1,MU04-CT-02
51768,1,MU04-CT-02
51766,1,MU04-CT-02
51765,1,MU04-EST-01
51764,1,MU04-EST-01
51763,1,MU04-EST-01
51762,1,MU04-EST-01
51761,1,MU04-EST-01
51756,1,MU04-CT-05
51755,1,MU04-CT-05
51754,1,MU04-CT-05
51748,1,MU04-CT-06
51738,1,MU04-EST-01
51737,1,MU04-EST-01
51736,1,MU04-EST-01
51735,1,MU04-EST-01
51734,1,MU04-EST-01
51733,1,MU04-EST-01
51732,1,MU04-EST-01
51731,1,MU04-EST-01
51730,1,MU04-EST-01
51729,1,MU04-EST-01
51728,1,MU04-EST-01
51727,1,MU04-CTRL-01
51726,1,MU04-SCEN-05
51725,1,MU04-SCEN-05
51723,1,MU04-SCEN-05
51722,1,MU04-SCEN-05
51721,1,MU04-CTRL-01
51720,1,MU04-SCEN-05
51719,1,MU04-CTRL-01
51718,1,MU04-SCEN-05
51713,1,MU04-EST-01
51712,1,MU04-EST-01
51711,1,MU04-EST-01
51710,1,MU04-EST-01
51709,1,MU04-EST-01
51706,1,MU04-EST-01
51705,1,MU04-EST-01
51704,1,MU04-EST-01
51702,1,MU04-CT-06
51701,1,MU04-CT-06
51700,1,MU04-CT-06
51699,1,MU04-CT-06
51698,1,MU04-CT-06
51697,1,MU04-CT-06
51693,1,MU04-SOL-01
51692,1,MU04-EST-01
51691,1,MU04-EST-01
51690,1,MU04-EST-01
51689,1,MU04-EST-01
51688,1,MU04-EST-01
51687,1,MU04-EST-01
51686,1,MU04-EST-01
51685,1,MU04-EST-01
51684,1,MU04-EST-01
51683,1,MU04-EST-01
51680,1,MU04-CT-04
51678,1,MU04-CT-04
51677,1,MU04-CT-04
51676,1,MU04-CT-04
51675,1,MU04-CT-04
51674,1,MU04-CT-04
51673,1,MU04-SOL-01
51672,1,MU04-SOL-01
51671,1,MU04-SOL-01
51669,1,MU04-SOL-01
51667,1,MU04-APP-07
51666,1,MU04-APP-07
51665,1,MU04-APP-07
51664,1,MU04-APP-07
51663,1,MU04-APP-07
51662,1,MU04-APP-07
51661,1,MU04-APP-07
51659,1,MU04-CT-06
51658,1,MU04-CT-06
51657,1,MU04-CT-06
51656,1,MU04-DIV-02
51655,1,MU04-DIV-02
51654,1,MU04-DIV-02
51653,1,MU04-DIV-02
51652,1,MU04-DIV-02
51651,1,MU04-DIV-02
51650,1,MU04-DIV-02
51627,1,MU04-SCEN-03
51626,1,MU04-CT-04
51625,1,MU04-CT-04
51624,1,MU04-SCEN-01
51623,1,MU04-CT-04
51622,1,MU04-CT-04
51621,1,MU04-CT-04
51620,1,MU04-CT-04
51618,1,MU04-MHD-02
51617,1,MU04-MHD-02
51615,1,MU04-MHD-02
51613,1,MU04-MHD-02
51612,1,MU04-MHD-02
51610,1,MU04-MHD-02
51609,1,MU04-MHD-02
51607,1,MU04-CT-04
51603,1,MU04-CT-04
51601,1,MU04-CT-04
51598,1,MU04-SCEN-03
51597,1,MU04-SCEN-03
51595,1,MU04-SCEN-03
51594,1,MU04-SCEN-03
51593,1,MU04-SCEN-03
51592,1,MU04-SCEN-03
51591,1,MU04-SCEN-03
51590,1,MU04-SCEN-03
51588,1,MU04-MHD-06
51587,1,MU04-MHD-06
51586,1,MU04-MHD-06
51585,1,MU04-MHD-06
51580,1,MU04-MHD-06
51579,1,MU04-MHD-06
51578,1,MU04-MHD-06
51577,1,MU04-MHD-06
51576,1,MU04-MHD-06
51575,1,MU04-MHD-02
51574,1,MU04-MHD-02
51573,1,MU04-MHD-02
51572,1,MU04-MHD-02
51571,1,MU04-MHD-02
51570,1,MU04-MHD-02
51569,1,MU04-MHD-02
51563,1,MU04-EST-04
51561,1,MU04-MHD-01
51560,1,MU04-EST-04
51559,1,MU04-EST-04
51558,1,MU04-EST-04
51557,1,MU04-EST-04
51556,1,MU04-MHD-01
51555,1,MU04-MHD-01
51554,1,MU04-MHD-01
51552,1,MU04-MHD-01
51551,1,MU04-MHD-01
51550,1,MU04-MHD-01
51549,1,MU04-MHD-01
51548,1,MU04-MHD-01
51547,1,MU04-CT-05
51542,1,MU04-CT-05
51541,1,MU04-CT-01
51540,1,MU04-CT-05
51539,1,MU04-CT-05
51538,1,MU04-CT-05
51537,1,MU04-CT-05
51536,1,MU04-CT-05
51535,1,MU04-CT-05
51533,1,MU04-CTRL-01
51532,1,MU04-DIV-07
51529,1,MU04-DIV-07
51528,1,MU04-DIV-07
51525,1,MU04-EST-04
51524,1,MU04-EST-04
51523,1,MU04-EST-04
51522,1,MU04-EST-04
51520,1,MU04-EST-04
51519,1,MU04-EST-04
51516,1,MU04-EST-04
51515,1,MU04-EST-04
51514,1,MU04-DIV-06
51512,1,MU04-DIV-06
51511,1,MU04-DIV-06
51508,1,MU04-DIV-06
51504,1,MU04-CTRL-01
51491,1,MU04-SOL-01
51484,1,MU04-SCEN-03
51483,1,MU04-CTRL-01
51480,1,MU04-SCEN-03
51477,1,MU04-CTRL-01
51476,1,MU04-CTRL-01
51475,1,MU04-CTRL-01
51468,1,MU04-CT-05
51467,1,MU04-CT-05
51466,1,MU04-CT-05
51465,1,MU04-CT-05
51464,1,MU04-CT-05
51463,1,MU04-CT-05
51462,1,MU04-CT-05
51461,1,MU04-CT-05
51460,1,MU04-CT-05
51459,1,MU04-CT-05
51455,1,MU04-CTRL-01
51445,1,MU04-SCEN-07
51443,1,MU04-SCEN-07
51442,1,MU04-SCEN-07
51441,1,MU04-SCEN-07
51440,1,MU04-MHD-03
51439,1,MU04-SCEN-07
51436,1,MU04-DIS-01
51433,1,MU04-DIS-01
51432,1,MU04-DIS-01
51431,1,MU04-DIS-01
51430,1,MU04-DIS-01
51429,1,MU04-DIS-01
51428,1,MU04-DIS-01
51427,1,MU04-DIS-01
51426,1,MU04-DIS-01
51425,1,MU04-DIS-01
51422,1,MU04-SCEN-07
51419,1,MU04-SCEN-07
51417,1,MU04-SCEN-07
51416,1,MU04-SCEN-06
51415,1,MU04-SCEN-06
51414,1,MU04-SCEN-06
51413,1,MU04-SCEN-07
51412,1,MU04-SCEN-07
51404,1,MU04-MHD-03
51403,1,MU04-MHD-03
51402,1,MU04-MHD-03
51401,1,MU04-MHD-03
51400,1,MU04-MHD-03
51399,1,MU04-MHD-03
51398,1,MU04-MHD-03
51397,1,MU04-MHD-03
51396,1,MU04-MHD-03
51395,1,MU04-SCEN-06
51394,1,MU04-SCEN-06
51393,1,MU04-SCEN-06
51392,1,MU04-SCEN-06
51391,1,MU04-SCEN-06
51390,1,MU04-SCEN-06
51389,1,MU04-SCEN-06
51384,1,MU04-DIV-06
51381,1,MU04-DIV-06
51380,1,MU04-DIV-06
51378,1,MU04-DIV-06
51377,1,MU04-DIV-06
51375,1,MU04-DIV-06
51369,1,MU04-SCEN-01
51368,1,MU04-SCEN-01
51367,1,MU04-SCEN-01
51366,1,MU04-SCEN-01
51365,1,MU04-SCEN-01
51364,1,MU04-SCEN-01
51363,1,MU04-SCEN-01
51362,1,MU04-SCEN-01
51359,1,MU04-CT-05
51358,1,MU04-CT-05
51357,1,MU04-CT-05
51356,1,MU04-CT-05
51355,1,MU04-CT-05
51354,1,MU04-CT-05
51353,1,MU04-CT-05
51352,1,MU04-CT-05
51351,1,MU04-CT-05
51350,1,MU04-CT-05
51349,1,MU04-CT-05
51348,1,MU04-CT-05
51347,1,MU04-CT-05
51346,1,MU04-SCEN-01
51345,1,MU04-SCEN-01
51343,1,MU04-SCEN-01
51342,1,MU04-SCEN-01
51341,1,MU04-SCEN-02
51340,1,MU04-SCEN-01
51339,1,MU04-SCEN-01
51338,1,MU04-SCEN-02
51337,1,MU04-SCEN-02
51335,1,MU04-SCEN-01
51334,1,MU04-SCEN-01
51333,1,MU04-SCEN-01
51332,1,MU04-SCEN-01
51331,1,MU04-SCEN-01
51330,1,MU04-WPTE-01
51329,1,MU04-WPTE-01
51328,1,MU04-WPTE-01
51327,1,MU04-WPTE-01
51325,1,MU04-WPTE-01
51314,1,MU04-CT-05
51313,1,MU04-SCEN-07
51311,1,MU04-SCEN-07
51310,1,MU04-SCEN-01
51309,1,MU04-SCEN-01
51308,1,MU04-WPTE-01
51306,1,MU04-SCEN-01
51305,1,MU04-SCEN-07
51304,1,MU04-WPTE-01
51303,1,MU04-WPTE-01
51302,1,MU04-WPTE-01
51297,1,MU04-WPTE-01
51296,1,MU04-SCEN-04
51295,1,MU04-SCEN-02
51294,1,MU04-SCEN-02
51293,1,MU04-SCEN-02
51291,1,MU04-SCEN-02
51287,1,MU04-SCEN-01
51286,1,MU04-SCEN-03
51285,1,MU04-SCEN-03
51284,1,MU04-SCEN-01
51283,1,MU04-SCEN-03
51281,1,MU04-SCEN-01
51280,1,MU04-SCEN-01
51272,1,MU04-SCEN-01
51271,1,MU04-CTRL-01
51270,1,MU04-SCEN-01
51257,1,MU04-SOL-01
51256,1,MU04-SOL-01
51255,1,MU04-SOL-01
51254,1,MU04-SOL-01
51253,1,MU04-DIS-01
51252,1,MU04-DIS-01
51250,1,MU04-DIS-01
51249,1,MU04-DIS-01
51248,1,MU04-DIS-01
51247,1,MU04-DIS-01
51246,1,MU04-DIS-01
51245,1,MU04-DIS-01
51244,1,MU04-DIS-01
